utilization	module	class	netlist_sha256
45	mul24_mac_replay_ctrl_wallace_brentkung_xormaj_default	control	811c3a3af36e2bd0b3eefe91312a452ce05ff156a7c557f9ec9f49bc86584c24
45	mul24_mac_replay_ctrl_dadda_brentkung_xormaj_default	control	67135e676d341891a18a145e6b6c66b279cb3b40987c9bc4e1d02e789d9f4405
45	mul24_mac_replay_ctrl_array_brentkung_mux_default	control	d6cd09d68ffc4a65d22cb5d61b1be12f71f0f5e0ff337a1c7330a0874dd5cda7
45	mul24_mac_replay_ctrl_wallace_brentkung_mux_default	control	8bf8224163b70adf6c73697e34d2061d861d04492bf4c093bfc23e34a146abda
45	mul24_mac_replay_ctrl_dadda_brentkung_mux_default	control	333be026296dd56fd843c374c005b4c7337115e2c7d84a897cde74a0f703a06d
45	mul24_mac_replay_ctrl_array_hancarlson_xormaj_default	control	2b660dea97c0f942edb328eccb5b440cc41e5c044a89506cb95a21afb31c385b
45	mul24_mac_replay_ctrl_wallace_hancarlson_xormaj_default	control	04669ad52fe50bbdc5ef5a70e4042cf2b3089b3dfc07b3dcfef221a39df1435a
45	mul24_mac_replay_ctrl_dadda_hancarlson_xormaj_default	control	3a11f71e428b07dda4ee2ee147007f6ff6000cf73d1c529cdf42c2927956155d
45	mul24_mac_replay_ctrl_array_hancarlson_mux_default	control	b14e2beb5e7cdbd32b2b42fb48dd1e50431d4f96deb72ea6ef209e5584c7624c
45	mul24_mac_replay_ctrl_wallace_hancarlson_mux_default	control	d90907ffd580c63e57391e3f6feb9cfa96f13ac2150cf19f1112efacbf831f2c
45	mul24_mac_replay_ctrl_dadda_hancarlson_mux_default	control	0c011726b3c7d57f9b68f0872db5dbecabd537e70886518f6042298e1608bb17
35	mul24_mac_replay_candidate_default	candidate	523f6ea65d7a7403e02bd5c3b786b8e26d6190b2a7cf0f9ed2282a20dab53d50
35	mul24_mac_replay_norules_default	ablation	fc512886916a0c31fc1ad7e43470a0bb3b60ef727eb47dc5c84b21bdb50cb5e5
35	mul24_mac_replay_ctrl_wallace_koggestone_mux_default	control	00890f5eb8e5e39a9779e51d704e810f7bf04681da9110a61d573812bf022061
35	mul24_mac_replay_ctrl_dadda_ripple_mux_default	control	b481d079d243c7982237e45cf0db13eabadef7389335e44ade3cb1fcf4b8077f
35	mul24_mac_replay_ctrl_array_hancarlson_mux_default	control	b14e2beb5e7cdbd32b2b42fb48dd1e50431d4f96deb72ea6ef209e5584c7624c
50	mul24_mac_replay_candidate_default	candidate	523f6ea65d7a7403e02bd5c3b786b8e26d6190b2a7cf0f9ed2282a20dab53d50
50	mul24_mac_replay_norules_default	ablation	fc512886916a0c31fc1ad7e43470a0bb3b60ef727eb47dc5c84b21bdb50cb5e5
50	mul24_mac_replay_ctrl_wallace_koggestone_mux_default	control	00890f5eb8e5e39a9779e51d704e810f7bf04681da9110a61d573812bf022061
50	mul24_mac_replay_ctrl_dadda_ripple_mux_default	control	b481d079d243c7982237e45cf0db13eabadef7389335e44ade3cb1fcf4b8077f
50	mul24_mac_replay_ctrl_array_hancarlson_mux_default	control	b14e2beb5e7cdbd32b2b42fb48dd1e50431d4f96deb72ea6ef209e5584c7624c
